source_system,shipment_id,booking_reference,external_identifiers,lifecycle,required_documents,cutoff_at,owner,source_updated_at,source_freshness
SYNTHETIC_HACKATHON_FIXTURE,SHP-5RSG-00133,MSDUL0942518196,"{""order_number"":""5RSG-00133"",""bl_number"":""MEDUUD104332""}",BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-5AAT-03056,SIN832764835,"{""order_number"":""5AAT-03056"",""bl_number"":""SIN525534192""}",DRAFT_BL_EXPECTED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-5ALT-01226,ONEYSINF32871,"{""order_number"":""5ALT-01226""}",BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-PSGSE8148932,PSGSE8148932,{},BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-PSGSE9638346,PSGSE9638346,{},DRAFT_BL_EXPECTED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-I978820812-1,I978820812,{},BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-I978820812-2,I978820812,{},BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk-2,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-5RFR-36541,SIJ3754330,"{""order_number"":""5RFR-36541"",""bl_number"":""SIJ4216073""}",BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-10T00:00:00Z,STALE
SYNTHETIC_HACKATHON_FIXTURE,SHP-5RAE-20163,070500236763,"{""order_number"":""5RAE-20163"",""bl_number"":""EGLV332003791769""}",DRAFT_BL_EXPECTED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-5RAE-69096,MCLSINJEA2576036,"{""order_number"":""5RAE-69096"",""bl_number"":""MCLSIN2316658""}",DRAFT_BL_EXPECTED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-5SUS-86999,SIN902294131,"{""order_number"":""5SUS-86999"",""bl_number"":""SIN204711671""}",BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
SYNTHETIC_HACKATHON_FIXTURE,SHP-5RCY-36057,ONEYSINF53396,"{""order_number"":""5RCY-36057"",""bl_number"":""SINF87558867""}",BL_CHECK_REQUIRED,"[""SI"",""DRAFT_BL""]",2026-09-20T00:00:00Z,docs-desk,2026-09-19T00:00:00Z,CURRENT
